decision_season,fg_id,buy_season,keeper_salary,years_control_left,kept,rp_prior,PA_prior,IP_prior,SV_prior,role,pos_group,birth_year,played_prior,age,is_pit,name,rp_realised,played,rebuy_price,value_realised,value_ex_ante,surplus_realised,surplus_ex_ante,right_call_realised,right_call_ex_ante
2024,14854,2022,13,1,1,4.195772801635617,381.0,0.0,0.0,HIT,OF,1990.0,1,34.0,0,Mike Yastrzemski,3.9191475691741298,1,,0.0,0.0,-13.0,-13.0,0,0
2024,12304,2022,20,1,0,12.390582597606516,0.0,200.0,0.0,PIT,SP,1989.0,1,35.0,1,Chris Bassitt,1.3148878819481267,1,9.0,0.0,50.937782107179835,20.0,-30.937782107179835,1,0
2024,3096,2022,29,1,0,8.059344695824516,0.0,44.66666666666668,29.0,PIT,UNKNOWN,1987.0,1,37.0,1,Kenley Jansen,6.9838956725363515,1,6.0,15.677660227215206,22.691283202312377,13.322339772784794,6.308716797687623,1,1
2024,16939,2022,1,1,1,10.018235553653836,682.0,1.0,0.0,HIT,OF,1995.0,1,29.0,0,Lane Thomas,6.33386532301985,1,,11.438437637249836,35.46633960077658,10.438437637249836,34.46633960077658,1,1
2024,10310,2022,29,1,1,13.121686119949707,0.0,192.0,0.0,PIT,UNKNOWN,1990.0,1,34.0,1,Zack Wheeler,14.615252214228654,1,,65.44613498794754,55.705729588133316,36.446134987947545,26.705729588133316,1,1
2024,17479,2022,15,1,1,0.5900816285728077,0.0,144.33333333333331,0.0,PIT,UNKNOWN,1995.0,1,29.0,1,Jack Flaherty,9.487760747327906,1,,32.006807620374325,0.0,17.006807620374325,-15.0,1,0
2024,16478,2022,30,1,1,8.732815465651807,720.0,0.0,0.0,HIT,UTIL,1993.0,1,31.0,0,Kyle Schwarber,9.249323939000336,1,,30.451823757092694,27.08337428430077,0.4518237570926935,-2.9166257156992295,1,0
2024,13419,2022,1,1,1,10.052101541902928,661.0,0.0,0.0,HIT,CI,1991.0,1,33.0,0,Christian Walker,6.600842368832133,1,,13.179548839905948,35.68719923067515,12.179548839905948,34.68719923067515,1,1
2024,5235,2022,20,1,0,9.12929866085557,626.0,0.0,0.0,HIT,UTIL,1984.0,1,40.0,0,Justin Turner,4.3587077280358075,1,1.0,0.0,29.669069735135672,20.0,-9.669069735135672,1,0
2024,12916,2022,28,1,0,11.72466440509162,687.0,0.0,0.0,HIT,MI,1993.0,1,31.0,0,Francisco Lindor,10.671589686550451,1,21.0,39.72723849800915,46.59494573518919,-11.72723849800915,-18.594945735189192,0,0
2024,12927,2022,10,1,1,8.309723934953974,682.0,0.0,0.0,HIT,UNKNOWN,1993.0,1,31.0,0,Brandon Nimmo,6.864756821751023,1,,14.90068710901027,24.3241505405304,4.900687109010271,14.3241505405304,1,1
2024,22182,2022,13,1,1,2.0823303131778688,0.0,112.0,0.0,PIT,UNKNOWN,1999.0,1,25.0,1,Hunter Greene,9.263775221459996,1,,30.54606889980415,0.0,17.54606889980415,-13.0,1,0
2024,21711,2022,8,1,1,0.6531773487254978,40.0,0.0,0.0,HIT,UNKNOWN,1998.0,1,26.0,0,Oneil Cruz,7.384812478892991,1,,18.292269811933824,0.0,10.292269811933824,-8.0,1,0
2024,16137,2022,26,1,0,-1.6922901138238533,0.0,64.33333333333331,0.0,PIT,UNKNOWN,1992.0,1,32.0,1,Carlos Rodon,6.568391374626763,1,10.0,12.967917201776181,0.0,13.032082798223819,26.0,1,1
2024,26378,2022,6,1,1,-0.9841376717679272,0.0,34.333333333333336,0.0,PIT,SP,1998.0,1,26.0,1,Nick Lodolo,2.4221384616809924,1,,0.0,0.0,-6.0,-6.0,0,0
2024,13074,2022,26,1,0,4.4561248238960065,0.0,136.33333333333331,0.0,PIT,SP,1986.0,1,38.0,1,Yu Darvish,4.420119098704009,1,15.0,0.0,0.0,26.0,26.0,1,1
2024,10231,2022,1,1,1,0.0,0.0,0.0,0.0,HIT,MI,1990.0,0,34.0,0,Jose Iglesias,3.846962019068087,1,,0.0,0.0,-1.0,-1.0,0,0
2024,19291,2022,15,1,1,14.84077201195741,0.0,210.0,0.0,PIT,SP,1995.0,1,29.0,1,Zac Gallen,5.844710101823357,1,,8.248374488293678,66.91687957968432,-6.751625511706322,51.91687957968432,0,1
2024,13774,2022,5,1,0,14.273946457546522,0.0,177.66666666666663,0.0,PIT,SP,1994.0,1,30.0,1,Zach Eflin,5.59832611321934,1,15.0,6.641562481634587,63.22028341826574,-1.6415624816345868,-58.22028341826574,0,0
2024,11739,2022,18,1,1,7.23675965507849,540.0,0.0,0.0,HIT,C,1991.0,1,33.0,0,J.T. Realmuto,4.301326264701143,1,,0.0,17.32673200944594,-18.0,-0.6732679905540593,0,0
2024,18401,2022,40,1,1,20.69180659021709,735.0,0.0,0.0,HIT,OF,1997.0,1,27.0,0,Ronald Acuna Jr.,2.7281151765715324,1,,0.0,105.07484863032369,-40.0,65.07484863032369,0,1
2024,17919,2022,7,1,1,8.228772033749062,691.0,0.0,0.0,HIT,UNKNOWN,1994.0,1,30.0,0,Ian Happ,7.433852617331767,1,,18.61208882167594,23.796216531689485,11.61208882167594,16.796216531689485,1,1
2025,24064,2024,3,2,1,7.5951489926995714,695.0,0.0,0.0,HIT,UNKNOWN,2001.0,1,24.0,0,Ezequiel Tovar,3.1063762769514542,1,,0.0,19.663995457492753,-3.0,16.663995457492753,0,1
2025,9218,2024,18,2,0,6.004771170678836,654.0,0.0,0.0,HIT,CI,1987.0,1,38.0,0,Paul Goldschmidt,4.976085858607782,1,2.0,2.583575118895059,9.292224978306722,15.416424881104941,8.707775021693278,1,1
2025,17929,2024,7,2,0,6.324460997869627,499.0,0.0,0.0,HIT,OF,1994.0,1,31.0,0,Cedric Mullins,4.840205311972216,1,3.0,1.6974197520528995,11.377106612244836,5.3025802479471,-4.377106612244836,1,0
2025,19470,2024,7,2,0,1.8472895196006345,153.0,0.0,0.0,HIT,OF,1995.0,1,30.0,0,Tommy Edman,3.3106750585624622,1,6.0,0.0,0.0,7.0,7.0,1,1
2025,21523,2024,2,2,0,5.913484345862907,637.0,0.0,0.0,HIT,MI,1996.0,1,29.0,0,Jonathan India,3.111333022892791,1,1.0,0.0,8.696890975496327,2.0,-6.696890975496327,1,0
2025,3096,2024,6,2,1,6.9838956725363515,0.0,54.66666666666668,27.0,PIT,UNKNOWN,1987.0,1,38.0,1,Kenley Jansen,9.131901570658682,1,,29.686044810292092,15.677660227215206,23.686044810292092,9.677660227215206,1,1
2025,21029,2024,11,2,0,6.326429130876836,0.0,54.333333333333336,23.0,PIT,RP,1998.0,1,27.0,1,Jhoan Duran,10.924026254344861,1,4.0,41.37352286230593,11.389941942026624,-30.373522862305933,-0.38994194202662413,0,0
