decision_season,fg_id,buy_season,keeper_salary,years_control_left,kept,rp_prior,PA_prior,IP_prior,SV_prior,role,pos_group,birth_year,played_prior,age,is_pit
2025,17548,2024,1,2,0,6.3212784668068265,663.0,0.0,0.0,HIT,OF,1993.0,1,32.0,0
2025,23697,2024,36,2,0,7.795254108452787,613.0,0.0,0.0,HIT,UNKNOWN,2000.0,1,25.0,0
2025,19611,2024,37,2,0,10.760524308015222,697.0,0.0,0.0,HIT,CI,1999.0,1,26.0,0
2025,19612,2024,21,2,0,1.8730210364585718,336.0,0.0,0.0,HIT,MI,1998.0,1,27.0,0
2025,26289,2024,29,2,1,11.197236460659614,719.0,0.0,0.0,HIT,UNKNOWN,2001.0,1,24.0,0
2025,17085,2024,24,2,0,6.284592808294841,0.0,185.33333333333331,0.0,PIT,SP,1996.0,1,29.0,1
2025,16578,2024,7,2,1,5.483346701313469,621.0,0.0,0.0,HIT,UNKNOWN,1991.0,1,34.0,0
2025,13510,2024,30,2,0,13.017305652898553,682.0,0.0,0.0,HIT,UNKNOWN,1992.0,1,33.0,0
2025,11477,2024,18,2,0,5.587776901925642,315.0,0.0,0.0,HIT,UNKNOWN,1991.0,1,34.0,0
2025,13543,2024,16,2,1,5.8527593536886755,0.0,104.0,0.0,PIT,UNKNOWN,1992.0,1,33.0,1
2025,12533,2024,23,2,0,6.780840967580868,718.0,0.0,0.0,HIT,UNKNOWN,1990.0,1,35.0,0
2025,18679,2024,17,2,0,6.213235114107515,0.0,173.66666666666663,0.0,PIT,SP,1996.0,1,29.0,1
2025,16122,2024,1,2,0,0.7733574283489149,0.0,13.666666666666664,8.0,PIT,RP,1993.0,1,32.0,1
2025,16137,2024,10,2,0,6.568391374626763,0.0,175.0,0.0,PIT,UNKNOWN,1992.0,1,33.0,1
2025,16149,2024,18,2,0,7.399872943400896,0.0,199.33333333333331,0.0,PIT,UNKNOWN,1993.0,1,32.0,1
2025,12564,2024,2,2,1,1.0703102195947256,106.0,0.0,0.0,HIT,UNKNOWN,1992.0,1,33.0,0
2025,25880,2024,4,2,0,5.681664058296434,0.0,170.0,0.0,PIT,SP,1998.0,1,27.0,1
2025,14107,2024,27,2,0,5.751493608102676,0.0,181.0,0.0,PIT,SP,1991.0,1,34.0,1
2025,5417,2024,19,2,0,8.899308549749707,682.0,0.0,0.0,HIT,UNKNOWN,1990.0,1,35.0,0
2025,13611,2024,35,2,1,7.744569241002913,516.0,0.0,0.0,HIT,UNKNOWN,1992.0,1,33.0,0
2025,13624,2024,30,2,1,7.173275190167715,533.0,0.0,0.0,HIT,UNKNOWN,1994.0,1,31.0,0
2025,13125,2024,13,2,1,4.6922444919577515,0.0,95.0,0.0,PIT,UNKNOWN,1990.0,1,35.0,1
2025,15689,2024,28,2,0,6.2820513929418,1.0,175.33333333333331,0.0,PIT,UNKNOWN,1992.0,1,33.0,1
2025,27465,2024,17,2,0,2.486632950133429,381.0,0.0,0.0,HIT,UNKNOWN,1999.0,1,26.0,0
2025,13649,2024,8,2,0,6.515932500817073,0.0,63.0,30.0,PIT,RP,1993.0,1,32.0,1
2025,14161,2024,1,2,0,5.731975850270479,388.0,0.0,0.0,HIT,OF,1993.0,1,32.0,0
2025,19287,2024,21,2,0,6.079781337010454,637.0,0.0,0.0,HIT,OF,1993.0,1,32.0,0
2025,19290,2024,20,2,0,5.561281626604594,648.0,0.0,0.0,HIT,OF,1995.0,1,30.0,0
2025,25436,2024,25,2,0,8.732488123254887,0.0,191.0,0.0,PIT,UNKNOWN,1998.0,1,27.0,1
2025,7005,2024,1,2,0,1.7745518302656484,0.0,56.66666666666668,4.0,PIT,RP,1988.0,1,37.0,1
2025,14710,2024,17,2,0,6.74649779727066,0.0,53.66666666666668,20.0,PIT,RP,1994.0,1,31.0,1
2025,16252,2024,26,2,0,8.285166704985462,539.0,0.0,0.0,HIT,UNKNOWN,1993.0,1,32.0,0
2025,19326,2024,13,2,1,7.874731289173901,692.0,0.0,0.0,HIT,UNKNOWN,1995.0,1,30.0,0
2025,12161,2024,7,2,0,4.604181288991951,463.0,0.0,0.0,HIT,MI,1992.0,1,33.0,0
2025,18314,2024,4,2,0,6.296184120810056,593.0,0.0,0.0,HIT,UNKNOWN,1994.0,1,31.0,0
2025,21390,2024,16,2,0,6.397690967109118,0.0,135.0,0.0,PIT,SP,1996.0,1,29.0,1
2025,17295,2024,23,2,0,10.031376568550238,0.0,176.33333333333331,0.0,PIT,UNKNOWN,1993.0,1,32.0,1
2025,26517,2024,1,2,1,1.4933905249722865,242.0,0.0,0.0,HIT,UNKNOWN,2001.0,1,24.0,0
2025,10155,2024,20,2,0,1.7597525264935523,126.0,0.0,0.0,HIT,UNKNOWN,1991.0,1,34.0,0
